Dungeon_Level,Roll_Min,Roll_Max,Encounter
1,1,3,1d3 Medium monstrous centipedes (vermin)
1,4,8,1d4 dire rats
1,9,10,1d4 giant fire beetles (vermin)
1,11,13,1d3 Small monstrous scorpions (vermin)
1,14,16,1d3 Small monstrous spiders (vermin)
1,17,20,1d3 dwarf warriors
1,21,22,1d3 elf warriors
1,23,25,1 darkmantle
1,26,28,1 krenshar
1,29,30,1 lemure (devil)
1,31,40,1d3+1 goblin warriors
1,41,50,1d4+2 kobold warriors
1,51,56,1d4 human warrior skeletons
1,57,62,1d3 human commoner zombies
1,63,71,1d4+1 Tiny viper snakes (animal)
1,72,80,1d3 orc warriors
1,81,85,1d3 stirges
1,86,90,1 spider swarm
1,91,100,Roll on 2nd-level table
2,1,10,Roll on 1st-level table
2,11,12,1 lantern archon
2,13,19,1 hobgoblin warrior and 1d4 goblin warriors
2,20,23,1 bugbear
2,24,26,1 choker
2,27,28,1 dretch (demon)
2,29,30,1 quasit (demon)
2,31,32,1 imp (devil)
2,33,35,1 dire bat
2,36,38,1d4+1 fiendish dire rats
2,39,40,1d3+1 formian workers
2,41,43,1d3+1 halfling warriors
2,44,50,2d4+1 kobold warriors
2,51,55,1 wererat (lycanthrope)
2,56,62,1d3+1 orc warriors
2,63,65,1 shocker lizard
2,66,68,1 owlbear skeleton
2,69,70,1 bat swarm
2,71,72,1 rat swarm
2,73,74,1 thoqqua
2,75,79,1 worg
2,80,83,1 constrictor snake (animal)
2,84,87,1d4+2 Small viper snakes (animal)
2,88,90,1 Huge monstrous centipede (vermin)
2,91,100,Roll on 3rd-level table
3,1,10,Roll on 2nd-level table
3,11,13,1 allip
3,14,16,1 cockatrice
3,17,19,2d4+1 dire rats
3,20,21,1 doppelganger
3,22,23,1 wyrmling brass dragon
3,24,27,1d3 drow elves
3,28,29,1 ethereal filcher
3,30,31,1 ethereal marauder
3,32,33,1 ettercap
3,34,35,1 violet fungus (fungus)
3,36,38,1 ghast (ghoul)
3,39,43,1d3 gnolls
3,44,45,1 grick
3,46,48,1 hell hound
3,49,50,1 howler
3,51,52,1d3 krenshars
3,53,55,1d3 lizardfolk
3,56,57,1 werewolf (lycanthrope)
3,58,62,1 ogre
3,63,65,1 gelatinous cube (ooze)
3,66,67,1 phantom fungus
3,68,69,1 rust monster
3,70,72,1 shadow
3,73,75,2d4 stirges
3,76,77,1 locust swarm
3,78,80,1 wight
3,81,82,1 yuan-ti pureblood
3,83,84,1d3 troglodyte zombies
3,85,86,1d3 Medium viper snakes (animal)
3,87,88,1 giant praying mantis (vermin)
3,89,90,1d3 Medium monstrous scorpions (vermin)
3,91,100,Roll on 4th-level table
4,1,10,Roll on 3rd-level table
4,11,12,1 barghest
4,13,14,1d3 lantern archons
4,15,16,1 hound archon
4,17,20,1 carrion crawler
4,21,22,1d4+1 darkmantles
4,23,27,1 displacer beast
4,28,30,1 young white dragon
4,31,33,1d3+1 duergar dwarves
4,34,38,1 gargoyle
4,39,40,1 janni (genie)
4,41,44,1d3+1 ghouls
4,45,47,1d3+1 svirfneblin gnomes
4,48,50,1d3+1 grimlocks
4,51,52,1 harpy
4,53,54,1 five-headed hydra
4,55,56,1 wereboar (lycanthrope)
4,57,59,1 mimic
4,60,62,1 minotaur
4,63,64,1 gray ooze (ooze)
4,65,67,1 otyugh
4,68,69,1 owlbear
4,70,71,1 centipede swarm
4,72,73,1d3+1 spider swarms
4,74,76,1d4+1 troglodytes
4,77,78,1 vampire spawn
4,79,80,1d3 worgs
4,81,83,1 minotaur zombie
4,84,85,1d3 Large viper snakes (animal)
4,86,88,1d4+1 Large monstrous centipedes (vermin)
4,89,90,1d3 Large monstrous spiders (vermin)
4,91,100,Roll on 5th-level table
5,1,10,Roll on 4th-level table
5,11,12,1 basilisk
5,13,14,1 greater barghest
5,15,17,1d3+1 bugbears
5,18,19,1d3 celestial lions
5,20,21,1 cloaker
5,22,23,1 bearded devil
5,24,26,1d4+4 dire bats
5,27,28,1d3 doppelgangers
5,29,33,1d4+2 drow elves
5,34,35,1 ettercap and 1d3+1 Medium monstrous spiders (vermin)
