Old Path,New Path,Category,Migration Phase,Priority
Assets/Scripts/Core/GameManager.cs,Assets/Scripts/_Core/GameManager.cs,Core,6,Low
Assets/Scripts/Core/SceneBootstrap.cs,Assets/Scripts/_Core/SceneBootstrap.cs,Core,6,Low
Assets/Scripts/Core/GameSettings.cs,Assets/Scripts/_Core/GameSettings.cs,Core,6,Low
Assets/Scripts/Core/GameEventSystem.cs,Assets/Scripts/_Core/GameEventSystem.cs,Core,6,Low
Assets/Scripts/Core/PlaneType.cs,Assets/Scripts/_Core/PlaneType.cs,Core,6,Low
Assets/Scripts/Core/Commands/CommandProcessor.cs,Assets/Scripts/_Core/Commands/CommandProcessor.cs,Core,6,Low
Assets/Scripts/Core/Commands/CombatCommands.cs,Assets/Scripts/_Core/Commands/CombatCommands.cs,Core,6,Low
Assets/Scripts/Core/Commands/IGameCommand.cs,Assets/Scripts/_Core/Commands/IGameCommand.cs,Core,6,Low
Assets/Scripts/Core/CameraController.cs,Assets/Scripts/Utilities/CameraController.cs,Utilities,6,Low
Assets/Scripts/Core/DebugCommands.cs,Assets/Scripts/Utilities/DebugCommands.cs,Utilities,6,Low
Assets/Scripts/Core/SpriteLoader.cs,Assets/Scripts/Utilities/SpriteLoader.cs,Utilities,6,Low
Assets/Scripts/Core/SummonCommand.cs,Assets/Scripts/Utilities/SummonCommand.cs,Utilities,6,Low
Assets/Scripts/Core/ExperienceCalculator.cs,Assets/Scripts/Character/Progression/ExperienceCalculator.cs,Character,4,Medium
Assets/Scripts/Core/GameManager.CombatActions.cs,Assets/Scripts/_Core/GameManager.CombatActions.cs,Core-Combat,2,High
Assets/Scripts/Core/GameManager.CombatFlowAccessors.cs,Assets/Scripts/_Core/GameManager.CombatFlowAccessors.cs,Core-Combat,2,High
Assets/Scripts/Core/GameManager.NPCSetup.cs,Assets/Scripts/_Core/GameManager.NPCSetup.cs,Core-NPC,2,High
Assets/Scripts/Core/GameManager.NPCTurns.cs,Assets/Scripts/_Core/GameManager.NPCTurns.cs,Core-NPC,2,High
Assets/Scripts/Core/GameManager.LootCollection.cs,Assets/Scripts/_Core/GameManager.LootCollection.cs,Core-Loot,2,High
Assets/Scripts/Core/GameManager.TreasureGeneration.cs,Assets/Scripts/_Core/GameManager.TreasureGeneration.cs,Core-Treasure,2,High
Assets/Scripts/Core/GameManager.TestConfigs.cs,Assets/Scripts/_Core/GameManager.TestConfigs.cs,Core-Test,2,High
Assets/Scripts/Core/GameManager.TestPanel.cs,Assets/Scripts/_Core/GameManager.TestPanel.cs,Core-Test,2,High
Assets/Scripts/Core/GameManager_Spells_A.cs,Assets/Scripts/Spell/Resolution/SpellResolver_A.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_B.cs,Assets/Scripts/Spell/Resolution/SpellResolver_B.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_C.cs,Assets/Scripts/Spell/Resolution/SpellResolver_C.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_Cantrips.cs,Assets/Scripts/Spell/Resolution/SpellResolver_Cantrips.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_D.cs,Assets/Scripts/Spell/Resolution/SpellResolver_D.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_E.cs,Assets/Scripts/Spell/Resolution/SpellResolver_E.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_F.cs,Assets/Scripts/Spell/Resolution/SpellResolver_F.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_G.cs,Assets/Scripts/Spell/Resolution/SpellResolver_G.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_H.cs,Assets/Scripts/Spell/Resolution/SpellResolver_H.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_I.cs,Assets/Scripts/Spell/Resolution/SpellResolver_I.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_K.cs,Assets/Scripts/Spell/Resolution/SpellResolver_K.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_L.cs,Assets/Scripts/Spell/Resolution/SpellResolver_L.cs,Spell,2,High
Assets/Scripts/Core/GameManager_Spells_M.cs,Assets/Scripts/Spell/Resolution/SpellResolver_M.cs,Spell,2,High
